pair,timeframe,direction,score,factors,entry_ts,entry,sl,tp1,tp2,outcome,exit_ts,exit_price,pnl_pips,expired
XAG/USD,1h,LONG,6,HTF BULLISH bias aligns with LONG signal;Price at Bullish OB (59.91 – 60.535);FVG present in zone;OB+FVG confluence zone;Sell-side liquidity swept,2026-07-07 21:00:00+00:00,60.404998779296875,59.87875,62.815,63.57,SL,2026-07-08 08:30:00+00:00,59.87875,-5.3,False
US30,1h,LONG,6,HTF BULLISH bias aligns with LONG signal;Price at Bullish OB (53039.0 – 53382.0);FVG present in zone;OB+FVG confluence zone;Sell-side liquidity swept,2026-07-08 00:00:00+00:00,53135.0,53021.85,53391.0,53400.0,SL,2026-07-08 07:00:00+00:00,53021.85,-113.2,False
NAS100,1h,SHORT,7,FVG present in zone;Buy-side liquidity swept;CHoCH confirmed on LTF;Wyckoff Distribution Phase C — UTAD confirmed;UTAD tested (no demand),2026-07-09 04:00:00+00:00,29505.75,29555.75,29273.75,29260.5,SL,2026-07-09 04:45:00+00:00,29555.75,-50.0,False
XAU/USD,15min,SHORT,6,FVG present in zone;In kill zone;Premium zone (above 50% EQ);Wyckoff Distribution Phase C — UTAD confirmed;UTAD tested (no demand),2026-07-09 08:30:00+00:00,4124.39990234375,4132.4,4106.55,4103.35,TP2,2026-07-09 10:45:00+00:00,4103.35,210.5,False
XAU/USD,15min,LONG,6,FVG present in zone;Sell-side liquidity swept;In kill zone;Wyckoff Accumulation Phase C — Spring confirmed,2026-07-10 13:30:00+00:00,4095.89990234375,4087.9,4127.8,4147.9,SL,2026-07-10 14:30:00+00:00,4087.9,-80.0,False
US30,1h,LONG,7,FVG present in zone;Sell-side liquidity swept;Discount zone (below 50% EQ);CHoCH confirmed on LTF;Wyckoff Accumulation Phase C — Spring confirmed,2026-07-10 16:00:00+00:00,52867.0,52787.0,53391.0,53400.0,SL,2026-07-12 22:00:00+00:00,52787.0,-80.0,False
XAU/USD,1h,LONG,7,FVG present in zone;Sell-side liquidity swept;Discount zone (below 50% EQ);Wyckoff Accumulation Phase C — Spring confirmed;Spring tested (no supply),2026-07-13 04:00:00+00:00,4067.39990234375,4059.4,4102.2,4130.0,SL,2026-07-13 04:15:00+00:00,4059.4,-80.0,False
XAU/USD,1h,LONG,7,FVG present in zone;Sell-side liquidity swept;Discount zone (below 50% EQ);Wyckoff Accumulation Phase C — Spring confirmed;Spring tested (no supply),2026-07-13 05:00:00+00:00,4066.300048828125,4058.3,4102.2,4130.0,SL,2026-07-13 06:00:00+00:00,4058.3,-80.0,False
XAU/USD,1h,LONG,8,FVG present in zone;Sell-side liquidity swept;In kill zone;Discount zone (below 50% EQ);Wyckoff Accumulation Phase C — Spring confirmed;Spring tested (no supply),2026-07-13 07:00:00+00:00,4063.0,4055.0,4102.2,4130.0,SL,2026-07-13 10:30:00+00:00,4055.0,-80.0,False
XAU/USD,1h,LONG,8,FVG present in zone;Sell-side liquidity swept;In kill zone;Discount zone (below 50% EQ);Wyckoff Accumulation Phase C — Spring confirmed;Spring tested (no supply),2026-07-13 11:00:00+00:00,4068.39990234375,4060.4,4102.2,4130.0,SL,2026-07-13 13:30:00+00:00,4060.4,-80.0,False
